minute,second,team,playerName,type,outcomeType,x,y,endX,endY
5,47.0,Barcelona,Sergi Roberto,BallRecovery,Successful,45.6,20.0,,
5,48.0,Barcelona,Sergi Roberto,Pass,Successful,38.0,18.3,41.5,34.9
5,51.0,Barcelona,Ivan Rakitic,Pass,Successful,42.2,38.8,46.0,54.5
5,55.0,Barcelona,Andrés Iniesta,Pass,Successful,55.7,66.6,61.5,92.7
6,0.0,Barcelona,Jordi Alba,Pass,Successful,68.9,91.7,63.4,84.7
6,6.0,Barcelona,Andrés Iniesta,Pass,Successful,56.8,68.4,44.1,41.2
6,9.0,Barcelona,Gerard Piqué,Pass,Successful,48.4,39.1,63.3,34.5
6,10.0,Barcelona,Ivan Rakitic,Pass,Successful,63.3,34.5,47.2,35.8
6,13.0,Barcelona,Gerard Piqué,Pass,Successful,53.3,35.8,78.3,86.8
6,17.0,Barcelona,Jordi Alba,Pass,Successful,80.8,82.0,90.8,60.0
6,18.0,Barcelona,Luis Suárez,Pass,Successful,90.8,60.0,82.4,60.6
6,19.0,Barcelona,Neymar,MissedShots,Successful,82.6,55.0,,
6,48.0,Real Madrid,Keylor Navas,Pass,Unsuccessful,5.5,57.0,60.2,97.2
6,50.0,Barcelona,Dani Alves,BallRecovery,Successful,41.4,5.3,,
6,50.0,Barcelona,Dani Alves,Pass,Successful,41.4,5.3,32.2,20.1
6,52.0,Barcelona,Gerard Piqué,BallTouch,Unsuccessful,32.5,20.0,,
6,53.0,Real Madrid,Gareth Bale,Pass,Successful,67.1,77.7,69.4,82.4
6,54.0,Real Madrid,Karim Benzema,BallRecovery,Successful,70.8,81.1,,
6,57.0,Real Madrid,Karim Benzema,Dispossessed,Successful,81.6,71.0,,
6,57.0,Barcelona,Dani Alves,Tackle,Successful,18.4,29.0,,
6,59.0,Barcelona,Claudio Bravo,KeeperPickup,Successful,3.6,32.8,,
7,2.0,Barcelona,Claudio Bravo,Pass,Successful,13.0,36.3,32.5,90.5
7,7.0,Barcelona,Neymar,Pass,Successful,32.4,90.8,27.1,94.4
7,8.0,Barcelona,Jordi Alba,Pass,Unsuccessful,27.1,94.4,37.7,89.3
7,10.0,Real Madrid,Luka Modric,BallRecovery,Successful,63.3,13.4,,
7,10.0,Real Madrid,Luka Modric,Pass,Successful,63.3,13.4,53.5,17.7
7,13.0,Real Madrid,Raphaël Varane,Pass,Successful,53.4,19.2,73.3,73.5
7,14.0,Real Madrid,Cristiano Ronaldo,Aerial,Successful,71.4,70.0,,
7,14.0,Barcelona,Dani Alves,Aerial,Unsuccessful,28.6,30.0,,
7,15.0,Real Madrid,Cristiano Ronaldo,Pass,Successful,73.3,73.5,79.1,75.6
7,16.0,Real Madrid,Gareth Bale,Pass,Unsuccessful,79.1,75.6,78.4,69.6
7,18.0,Real Madrid,Cristiano Ronaldo,Challenge,Unsuccessful,72.4,65.8,,
7,18.0,Barcelona,Dani Alves,TakeOn,Successful,27.6,34.2,,
7,19.0,Barcelona,Dani Alves,BallRecovery,Successful,26.4,38.9,,
7,19.0,Barcelona,Dani Alves,Pass,Successful,26.4,38.9,35.0,28.8
7,22.0,Barcelona,Ivan Rakitic,Pass,Successful,36.0,26.2,36.8,11.9
7,24.0,Barcelona,Sergi Roberto,Pass,Successful,36.0,12.8,39.5,26.8
7,27.0,Barcelona,Dani Alves,Pass,Successful,45.8,25.5,60.3,6.2
7,33.0,Barcelona,Ivan Rakitic,Pass,Successful,61.5,10.6,65.4,25.8
7,34.0,Barcelona,Sergi Roberto,Pass,Unsuccessful,65.4,25.8,62.2,0.0
7,44.0,Real Madrid,Marcelo,Pass,Successful,37.7,100.0,32.9,79.6
7,45.0,Real Madrid,Toni Kroos,Pass,Successful,32.9,79.6,25.3,90.2
7,49.0,Real Madrid,Sergio Ramos,Pass,Successful,26.5,77.0,32.1,61.5
7,51.0,Real Madrid,Luka Modric,Pass,Successful,32.1,61.5,22.7,42.1
7,52.0,Real Madrid,Raphaël Varane,Pass,Successful,22.7,42.1,4.6,49.6
7,57.0,Real Madrid,Keylor Navas,Pass,Successful,7.5,46.4,15.3,96.3
8,1.0,Real Madrid,Sergio Ramos,Pass,Successful,15.0,96.6,3.2,70.5
8,4.0,Real Madrid,Keylor Navas,Pass,Successful,5.4,58.5,38.5,35.1
8,7.0,Real Madrid,James Rodríguez,Pass,Successful,36.7,29.8,30.9,12.6
8,9.0,Real Madrid,Danilo,Pass,Successful,30.8,12.8,55.7,26.7
8,10.0,Real Madrid,Karim Benzema,Pass,Successful,55.6,26.7,52.3,20.6
8,12.0,Real Madrid,James Rodríguez,Pass,Successful,58.2,24.4,73.9,15.2
