id,minute,second,teamId,h_a,type,outcomeType,x,y,endX,endY
2390961895.0,7,44.0,ManchesterUnited,a,Pass,Unsuccessful,70.9,51.5,73.5,57.2
2390961909.0,7,44.0,ManchesterCity,h,BallTouch,Successful,26.8,45.1,,
2390961949.0,7,45.0,ManchesterUnited,a,Pass,Successful,67.9,50.6,63.0,62.6
2390961997.0,7,47.0,ManchesterUnited,a,Pass,Successful,63.0,62.7,78.2,91.8
2390962059.0,7,53.0,ManchesterUnited,a,Pass,Successful,86.4,75.4,77.7,67.6
2390962073.0,7,55.0,ManchesterUnited,a,Pass,Successful,78.4,67.6,88.0,62.7
2390962097.0,7,56.0,ManchesterUnited,a,TakeOn,Unsuccessful,89.7,61.4,,
2390962087.0,7,56.0,ManchesterCity,h,Tackle,Unsuccessful,10.3,38.6,,
2390962105.0,7,57.0,ManchesterUnited,a,SavedShot,Successful,95.5,55.3,,
2390962127.0,7,57.0,ManchesterCity,h,Save,Successful,3.4,47.2,,
2390962167.0,7,59.0,ManchesterCity,h,Foul,Successful,12.3,58.8,,
2390962177.0,7,59.0,ManchesterUnited,a,Foul,Unsuccessful,87.7,41.2,,
2390962635.0,8,24.0,ManchesterCity,h,Pass,Successful,14.1,56.3,14.0,34.0
2390962665.0,8,26.0,ManchesterCity,h,Pass,Successful,14.5,36.9,10.3,58.3
2390962809.0,8,33.0,ManchesterCity,h,Pass,Successful,13.4,62.7,42.0,91.5
2390962831.0,8,36.0,ManchesterCity,h,TakeOn,Unsuccessful,40.3,92.4,,
2390962845.0,8,36.0,ManchesterUnited,a,Tackle,Unsuccessful,59.7,7.6,,
2390962969.0,8,40.0,ManchesterCity,h,Pass,Successful,38.7,90.8,31.3,93.6
2390963005.0,8,43.0,ManchesterCity,h,Pass,Successful,33.7,78.4,21.2,64.8
2390963039.0,8,44.0,ManchesterCity,h,Pass,Successful,21.2,63.7,23.8,44.8
2390963099.0,8,48.0,ManchesterCity,h,Pass,Successful,25.5,40.1,32.5,11.9
2390963139.0,8,51.0,ManchesterCity,h,Pass,Successful,35.2,11.4,27.1,26.1
2390963185.0,8,53.0,ManchesterCity,h,Pass,Successful,28.1,24.4,19.5,6.5
2390963261.0,8,56.0,ManchesterCity,h,Pass,Successful,19.5,9.7,8.5,45.1
2390963371.0,9,0.0,ManchesterCity,h,Pass,Successful,3.8,48.7,12.2,70.8
2390963401.0,9,6.0,ManchesterCity,h,Pass,Unsuccessful,22.0,72.9,45.3,52.7
2390963437.0,9,9.0,ManchesterUnited,a,BallRecovery,Successful,53.2,46.6,,
2390963465.0,9,9.0,ManchesterUnited,a,Pass,Successful,53.8,46.6,72.6,44.0
2390963483.0,9,11.0,ManchesterUnited,a,Pass,Successful,73.0,44.8,69.5,39.7
2390963531.0,9,13.0,ManchesterUnited,a,Pass,Successful,70.1,35.4,77.4,6.7
